SUM INSURED TABLE — Tamil Nadu Kharif 2026 notification (SIMULATED for this demonstration; say 'according to the district notification' when quoting).
Figures are rupees per hectare. Quote a figure ONLY as the policy ceiling: 'the policy covers up to X per hectare, that is the most it covers, not the amount you will receive; the survey decides the loss percentage'. Never state a payout.
Farmer premium share: two per cent of sum insured for food and oilseed crops, five per cent for commercial and horticultural crops.

[N1-Ariyalur] Ariyalur: Paddy 60,500; Groundnut 48,000; Sugarcane 107,500; Cotton 48,500; Maize 41,500; Black gram 24,500; Green gram 24,500; Red gram 31,500; Banana 158,000; Turmeric 134,500; Chilli 82,500; Tomato 70,000; Onion 62,500; Coconut 90,000; Ragi 27,500; Bajra 22,000; Jowar 22,500; Sesame 21,500; Tapioca 82,000; Brinjal 65,000; Okra 56,500; Mango 87,000.
[N1-Ranipet] Ranipet: Paddy 61,000; Groundnut 47,000; Sugarcane 119,500; Cotton 52,000; Maize 34,500; Black gram 27,000; Green gram 23,500; Red gram 29,500; Banana 166,000; Turmeric 139,000; Chilli 69,500; Tomato 72,000; Onion 65,000; Coconut 84,000; Ragi 29,000; Bajra 26,500; Jowar 26,000; Sesame 22,500; Tapioca 83,500; Brinjal 63,500; Okra 50,500; Mango 95,500.
[N1-Salem] Salem: Paddy 63,500; Groundnut 49,000; Sugarcane 106,500; Cotton 52,000; Maize 36,500; Black gram 25,500; Green gram 24,000; Red gram 34,500; Banana 176,500; Turmeric 133,500; Chilli 76,000; Tomato 70,000; Onion 67,000; Coconut 87,500; Ragi 26,000; Bajra 23,000; Jowar 24,500; Sesame 22,000; Tapioca 74,000; Brinjal 62,500; Okra 52,000; Mango 98,500.
[N1-Sivaganga] Sivaganga: Paddy 62,000; Groundnut 46,500; Sugarcane 109,500; Cotton 53,500; Maize 38,000; Black gram 27,000; Green gram 25,000; Red gram 32,500; Banana 153,000; Turmeric 118,000; Chilli 81,500; Tomato 76,000; Onion 66,500; Coconut 91,000; Ragi 30,500; Bajra 23,000; Jowar 26,000; Sesame 21,500; Tapioca 80,500; Brinjal 62,000; Okra 53,000; Mango 97,000.
[N1-Tenkasi] Tenkasi: Paddy 59,500; Groundnut 47,500; Sugarcane 99,500; Cotton 56,000; Maize 40,000; Black gram 27,500; Green gram 24,500; Red gram 33,500; Banana 172,500; Turmeric 126,500; Chilli 78,500; Tomato 74,500; Onion 64,000; Coconut 81,000; Ragi 27,500; Bajra 22,500; Jowar 23,500; Sesame 23,000; Tapioca 87,500; Brinjal 65,000; Okra 56,500; Mango 92,000.
[N1-Thanjavur] Thanjavur: Paddy 56,000; Groundnut 42,500; Sugarcane 104,500; Cotton 50,500; Maize 39,500; Black gram 28,500; Green gram 23,500; Red gram 30,000; Banana 158,500; Turmeric 130,000; Chilli 67,500; Tomato 74,000; Onion 58,500; Coconut 87,000; Ragi 25,500; Bajra 22,500; Jowar 26,000; Sesame 22,500; Tapioca 83,000; Brinjal 58,000; Okra 57,000; Mango 92,500.
[N1-TheNilgiris] The Nilgiris: Paddy 56,000; Groundnut 50,500; Sugarcane 100,000; Cotton 53,000; Maize 35,500; Black gram 25,500; Green gram 27,500; Red gram 29,000; Banana 149,500; Turmeric 133,500; Chilli 78,000; Tomato 76,500; Onion 67,000; Coconut 86,500; Ragi 30,500; Bajra 23,000; Jowar 25,500; Sesame 23,000; Tapioca 81,500; Brinjal 62,000; Okra 58,000; Mango 98,500.
[N1-Theni] Theni: Paddy 66,500; Groundnut 45,000; Sugarcane 114,500; Cotton 53,000; Maize 39,000; Black gram 26,000; Green gram 23,500; Red gram 34,000; Banana 153,000; Turmeric 141,000; Chilli 78,000; Tomato 76,500; Onion 64,000; Coconut 90,000; Ragi 28,000; Bajra 25,500; Jowar 25,500; Sesame 23,000; Tapioca 72,500; Brinjal 62,000; Okra 57,500; Mango 103,500.
[N1-Thoothukudi] Thoothukudi: Paddy 61,000; Groundnut 48,500; Sugarcane 116,500; Cotton 54,000; Maize 36,500; Black gram 26,500; Green gram 26,500; Red gram 33,500; Banana 180,500; Turmeric 121,000; Chilli 68,500; Tomato 75,500; Onion 60,500; Coconut 97,000; Ragi 30,500; Bajra 25,500; Jowar 24,500; Sesame 20,500; Tapioca 88,000; Brinjal 57,000; Okra 51,000; Mango 101,500.
[N1-Tiruchirappalli] Tiruchirappalli: Paddy 66,500; Groundnut 45,000; Sugarcane 118,000; Cotton 54,500; Maize 36,500; Black gram 24,500; Green gram 25,500; Red gram 29,500; Banana 173,000; Turmeric 133,500; Chilli 75,500; Tomato 65,500; Onion 62,000; Coconut 94,000; Ragi 30,500; Bajra 25,000; Jowar 24,000; Sesame 22,000; Tapioca 85,000; Brinjal 61,500; Okra 51,500; Mango 103,500.
[N1-Tirunelveli] Tirunelveli: Paddy 58,500; Groundnut 44,500; Sugarcane 101,000; Cotton 53,500; Maize 38,000; Black gram 27,000; Green gram 23,000; Red gram 32,500; Banana 160,000; Turmeric 142,500; Chilli 74,000; Tomato 65,000; Onion 69,000; Coconut 86,500; Ragi 28,000; Bajra 23,500; Jowar 24,500; Sesame 20,500; Tapioca 87,000; Brinjal 65,000; Okra 49,500; Mango 98,000.
[N1-Tirupathur] Tirupathur: Paddy 57,500; Groundnut 42,000; Sugarcane 102,000; Cotton 50,500; Maize 40,500; Black gram 26,000; Green gram 26,500; Red gram 34,000; Banana 158,500; Turmeric 131,000; Chilli 70,500; Tomato 66,000; Onion 66,500; Coconut 81,000; Ragi 30,000; Bajra 24,000; Jowar 25,000; Sesame 22,000; Tapioca 83,000; Brinjal 64,000; Okra 52,500; Mango 93,500.
[N1-Tiruppur] Tiruppur: Paddy 56,000; Groundnut 49,000; Sugarcane 108,000; Cotton 47,500; Maize 38,500; Black gram 28,000; Green gram 23,000; Red gram 31,500; Banana 181,000; Turmeric 131,500; Chilli 69,000; Tomato 73,500; Onion 60,000; Coconut 86,500; Ragi 26,000; Bajra 22,000; Jowar 24,500; Sesame 21,000; Tapioca 80,500; Brinjal 60,000; Okra 50,000; Mango 98,000.
[N1-Tiruvallur] Tiruvallur: Paddy 62,000; Groundnut 43,000; Sugarcane 110,000; Cotton 50,000; Maize 34,500; Black gram 26,000; Green gram 25,500; Red gram 29,000; Banana 160,500; Turmeric 138,500; Chilli 78,000; Tomato 64,500; Onion 69,000; Coconut 94,000; Ragi 29,500; Bajra 26,500; Jowar 26,000; Sesame 20,500; Tapioca 79,500; Brinjal 64,500; Okra 54,000; Mango 86,000.
[N1-Tiruvannamalai] Tiruvannamalai: Paddy 64,500; Groundnut 47,000; Sugarcane 100,000; Cotton 50,500; Maize 39,500; Black gram 25,500; Green gram 27,000; Red gram 30,500; Banana 158,500; Turmeric 135,500; Chilli 78,500; Tomato 71,000; Onion 67,500; Coconut 81,000; Ragi 28,000; Bajra 23,000; Jowar 26,000; Sesame 21,000; Tapioca 74,000; Brinjal 65,500; Okra 51,500; Mango 100,000.
[N1-Tiruvarur] Tiruvarur: Paddy 63,500; Groundnut 47,000; Sugarcane 110,500; Cotton 53,500; Maize 41,500; Black gram 28,500; Green gram 27,000; Red gram 33,000; Banana 156,500; Turmeric 125,500; Chilli 69,000; Tomato 64,000; Onion 63,000; Coconut 96,000; Ragi 26,500; Bajra 24,500; Jowar 24,000; Sesame 23,500; Tapioca 73,500; Brinjal 62,000; Okra 51,000; Mango 97,000.
[N1-Vellore] Vellore: Paddy 67,500; Groundnut 49,500; Sugarcane 104,500; Cotton 52,500; Maize 39,000; Black gram 28,000; Green gram 23,500; Red gram 30,500; Banana 164,500; Turmeric 131,500; Chilli 76,500; Tomato 67,500; Onion 71,000; Coconut 82,000; Ragi 30,000; Bajra 23,000; Jowar 24,500; Sesame 20,000; Tapioca 86,500; Brinjal 58,500; Okra 53,500; Mango 89,000.
[N1-Viluppuram] Viluppuram: Paddy 66,500; Groundnut 44,000; Sugarcane 119,500; Cotton 54,500; Maize 36,500; Black gram 28,000; Green gram 27,000; Red gram 29,000; Banana 169,000; Turmeric 138,000; Chilli 75,500; Tomato 63,500; Onion 66,000; Coconut 93,500; Ragi 27,000; Bajra 26,000; Jowar 22,000; Sesame 21,000; Tapioca 74,000; Brinjal 56,500; Okra 59,500; Mango 95,000.
[N1-Virudhunagar] Virudhunagar: Paddy 67,500; Groundnut 47,500; Sugarcane 116,000; Cotton 53,500; Maize 35,000; Black gram 24,000; Green gram 25,500; Red gram 34,000; Banana 166,000; Turmeric 130,000; Chilli 80,500; Tomato 75,500; Onion 68,500; Coconut 87,000; Ragi 30,000; Bajra 25,000; Jowar 24,000; Sesame 20,000; Tapioca 76,000; Brinjal 66,000; Okra 56,500; Mango 103,000.
